Name,Project Accession,Publication Date,Authors,Author Text,Journal,Related Concepts,Link,Description,Abstract,PDF,Data Types,Added By,Field 14
"Metagenome-assembled genomes provide new insight into the microbial diversity of two thermal pools in Kamchatka, Russia",SRX4275258 SRX4275259 PRJNA419931 PRJNA419931,28/2/2019,"Laetitia g. E. WIlkins,Jonathan A. Eisen","Laetitia G. E. Wilkins, Cassandra L. Ettinger, Guillaume Jospin & Jonathan A. Eisen ",Scientific Reports,,https://www.nature.com/articles/s41598-019-39576-6,,"Culture-independent methods have contributed substantially to our understanding of global microbial diversity. Recently developed algorithms to construct whole genomes from environmental samples have further refined, corrected and revolutionized understanding of the tree of life. Here, we assembled draft metagenome-assembled genomes (MAGs) from environmental DNA extracted from two hot springs within an active volcanic ecosystem on the Kamchatka peninsula, Russia. This hydrothermal system has been intensively studied previously with regard to geochemistry, chemoautotrophy, microbial isolation, and microbial diversity. We assembled genomes of bacteria and archaea using DNA that had previously been characterized via 16S rRNA gene clone libraries. We recovered 36 MAGs, 29 of medium to high quality, and inferred their placement in a phylogenetic tree consisting of 3,240 publicly available microbial genomes. We highlight MAGs that were taxonomically assigned to groups previously underrepresented in available genome data. This includes several archaea (Korarchaeota, Bathyarchaeota and Aciduliprofundum) and one potentially new species within the bacterial genus Sulfurihydrogenibium. Putative functions in both pools were compared and are discussed in the context of their diverging geochemistry. This study adds comprehensive information about phylogenetic diversity and functional potential within two hot springs in the caldera of Kamchatka.",,"Metagenomic,sanger",DCD,
Metagenome sequencing-based strain-level and functional characterization of supragingival microbiome associated with dental caries in children,,28/12/2018,"Nezar Noor Al-Hebshi,Amid Ismail,Rita Colwell",,,"oral microbiome,Prevotella,veillonella",https://www.tandfonline.com/doi/full/10.1080/20002297.2018.1557986,,"Studies of the microbiome associated with dental caries have largely relied on 16S rRNA sequence analysis, which is associated with PCR biases, low taxonomic resolution, and inability to accurately study functions. Here, we employed whole metagenome shotgun sequencing, coupled with high-resolution analysis algorithm, to analyze supragingival microbiomes from 30 children with or without dental caries. A total of 726 bacterial strains belonging to 406 species, in addition to 34 bacteriophages were identified. A core bacteriome was identified at the species and strain levels. Species of Prevotella, Veillonella, as yet unnamed Actinomyces, and Atopobium showed strongest association with caries; Streptococcus sp. AS14 and Leptotrichia sp. Oral taxon 225, among others, were overabundant in caries-free. For several species, the association was strain-specific. Furthermore, for some species, e.g. Streptococcus mitis and Streptococcus sanguinis, sister strains showed differential associations. Noteworthy, associations were also identified for phages: Streptococcus phage M102 with caries and Haemophilus phage HP1 with caries-free. Functionally, potentially relevant features were identified including urate, vitamin K2, and polyamine biosynthesis in association with caries; and three deiminases and lactate dehydrogenase with health. The results demonstrate new associations between the microbiome and dental caries at the strain and functional levels that need further investigation.",,Metagenomic,DCD,
"Unexpectedly High Bacterial Diversity in Arctic Tundra Relative to Boreal Forest Soils, Revealed by Serial Analysis of Ribosomal Sequence Tags",PRJNA87989; GEO: GSE949,,Josh Neufeld,,,"Ecology,ecosystem,arctic",https://aem.asm.org/content/71/10/5710.short,,"Arctic tundra and boreal forest soils have globally relevant functions that affect atmospheric chemistry and climate, yet the bacterial composition and diversity of these soils have received little study. Serial analysis of ribosomal sequence tags (SARST) and denaturing gradient gel electrophoresis (DGGE) were used to compare composite soil samples taken from boreal and arctic biomes. This study comprises an extensive comparison of geographically distant soil bacterial communities, involving the analysis of 12,850 ribosomal sequence tags from six composite soil samples. Bacterial diversity estimates were greater for undisturbed arctic tundra soil samples than for boreal forest soil samples, with the highest diversity associated with a sample from an extreme northern location (82oN). The lowest diversity estimate was obtained from an arctic soil sample that was disturbed by compaction and sampled from a greater depth. Since samples from the two biomes did not form distinct clusters on the basis of SARST data and DGGE fingerprints, factors other than latitude likely influenced the phylogenetic compositions of these communities. The high number of ribosomal sequences analyzed enabled the identification of possible cosmopolitan and endemic bacterial distributions in particular soils.",,,,
Effect of heat-inactivated Lactobacillus paracasei N1115 on microbiota and gut-brain axis related molecules,PRJNA546058,19/2/2020,"Yujie Zhang,Fangfang Pu,Ruyue Cheng,Jiawen Guo,Xi Shen,Shijie Wang,Zhu Hong,Xiao Zhang,Guo Cheng,Ming Li,Fang He","ujie Zhang1#, Fangfang Pu1，2#, Ruyue Cheng1 , Jiawen Guo1 , Xi Shen1 , Shijie Wang3 5 , Zhu Hong4 , Xiao Zhang1 , Guo Cheng1 , Ming Li1 ,and Fang He1 6 * ",J-Stage,"antibiotics,heat-inactivated Lactobacilli,gut microbiota",https://www.jstage.jst.go.jp/article/bmfh/advpub/0/advpub_2019-025/_article/-char/ja/,,"This study was conducted to evaluate the possibility of using heated-inactivated Lactobacilli to protect
neonates from harmful effects of antibiotics. Thirty neonate mice were randomly divided into three
groups of ten and treated with either sterilized water, an antibiotics cocktail, or the same antibiotics plus heat-inactivated Lactobacillus paracasei N1115. The administration of antibiotics significantly increased the serum interleukin-6 (IL-6) levels of the tested mice (P<0.01, P<0.001, respectively) and decreased their serum corticosterone levels (P<0.01, P<0.01, respectively). The colonic crypts were significantly less deep in mice treated with antibiotics and with antibiotics plus N1115 (P<0.05). Antibiotics caused significantly abnormal expression of brain-derived neurotrophic factor (BDNF), γ-aminobutyric acid type A receptor α1 (GABAAα1), γ-aminobutyric acid type B receptor1(GABAb1), and 5-hydroxytryptamine receptor1A (5-HT1A) in the hippocampus (P<0.05, P<0.01, P<0.01, respectively) and of GABAAα1 in the prefrontal cortex (P<0.01). Heat-inactivated Lactobacilli alleviated these abnormal changes. Antibiotics greatly decreased the Shannon index of the fecal microbiota and significantly increased the number of Proteobacteria (P<0.001), with fewer Bacteroidetes and Firmicutes (P<0.05). Antibiotics not only cause microbiota dysbiosis, but also cause abnormal changes in important molecules in the gut-brain axis. All these abnormal changes are alleviated by heat-inactivated L. paracasei N1115. This indicates that heat-inactivated L. paracasei N1115 has a certain improvement effect on changes caused by antibiotics. ",advpub_2019-025.pdf (https://dl.airtable.com/.attachments/0dc3540554bcaa7820befc4a619728c4/c71ac8af/advpub_2019-025.pdf),,Suraj Patel,
High-throughput DNA sequencing of microbiota at interproximal sites,PRJNA545410,11/11/2019,"Miguel Carda-Diéguez,Alex Mira","a Genomics & Health Department, FISABIO Institute, Valencia, Spain; b Department of Orthodontics, Faculty of Medicine, University of Murcia, Murcia, Spain",Journal of Oral Microbiology,"Caries,16S RNA,next generation sequencing,interproximal,microbiota",https://www.tandfonline.com/doi/full/10.1080/20002297.2019.1687397,,"Objective: The oral microbiota has been deeply studied by high-throughput sequencing techniques. However, although the interproximal regions have one of the highest caries rates in the oral cavity, information about the bacterial composition at those sites is scarce.
Methods: In this study, we used 16S rRNA Illumina sequencing to describe the microbiota associated to interproximal regions at two time points. In addition, dental plaque samples at the vestibular and lingual surfaces from the same teeth were also analysed at the two time points.
Results: Interproximal-associated microbiota was found to be similar to already described bacterial communities in other mouth niches. Streptoccocus, Veillonella, Rothia, Actinomyces, Neisseria, Haemophilus and Fusobacterium were the most abundant genera in this oral region. Statistical analyses showed that the microbiota from interproximal sites was more similar to that sampled from the vestibular surfaces than to the lingual surfaces. Interestingly, many potentially cariogenic bacteria such as Scardovia, Atopobium or Selenomonas were overrepresented in the interproximal regions in comparison with vestibular and lingual sites.
Conclusion: The microbiota at interproximal regions appears to be specific and stable through time. Potentially pathogenic bacteria may increase caries development risk and gingival inflammation at those sites.",High throughput DNA sequencing of microbiota at interproximal sites.pdf (https://dl.airtable.com/.attachments/7aa2dc36668a494a74c2492a1aaf6851/5f73c35b/HighthroughputDNAsequencingofmicrobiotaatinterproximalsites.pdf),,Suraj Patel,
A Short-Term Feeding of Dietary Casein Increases Abundance of Lactococcus lactis and Upregulates Gene Expression Involving Obesity Prevention in Cecum of Young Rats Compared With Dietary Chicken Protein,PRJNA545455,25/10/2019,"Fan Zhao,Chunbao Li","1College of Food Science and Technology, Nanjing Agricultural University, Key Laboratory of Meat Products Processing, Ministry of Agriculture and Rural Affairs, Jiangsu Collaborative Innovation Center of Meat Production and Processing, Quality and Safety Control, Nanjing, China 2School of Food Science, Nanjing Xiaozhuang University, Nanjing, China",Frontiers in Microbiology,"casein,Lactococcus lactis,AdipoQ,Irs1",https://www.frontiersin.org/articles/10.3389/fmicb.2019.02411/full,,"Casein and chicken are assessed to contain high quality proteins, which are essential for human health. Studies have shown that ingestion of the two dietary proteins resulted
in distinct effects on physiology, liver transcriptome and gut microbiota. However, its underlying mechanism is not fully understood, in particular for a crosstalk between
gut microbiota and host under a specific diet intervention. We fed young rats with a casein or a chicken protein-based diet (CHPD) for 7 days, and characterized cecal microbiota composition and cecal gene expression. We found that a shortterm intervention with a casein-based diet (CAD) induced a higher relative abundance
of beneficial bacterium Lactococcus lactis as well as Bifidobacterium pseudolongum, which upregulated galactose metabolism of the microbiome compared with a CHPD.
The CAD also upregulated gene expression involved in obesity associated pathways (e.g., Adipoq and Irs1) in cecal tissue of rats. These genes and the bacterial taxon were reported to play an important role in protecting development of obesity. Furthermore, the differentially represented bacterial taxon L. lactis was positively associated with these differentially expressed genes in the gut tissue. Our results provide a new insight into the crosstalk between gut microbiota and host in response to dietary proteins, indicating a
potential mechanism of obesity prevention function by casein.",fmicb-10-02411.pdf (https://dl.airtable.com/.attachments/94b6cb51f9f5f9824ce2d25dde3fd1f8/5ba24412/fmicb-10-02411.pdf),,Suraj Patel,
Recurrent symbiont recruitment from fungal parasites in cicadas,PRJNA450123,26/6/2018,"Yu Matsuura,Takema Fukatsu","Tropical Biosphere Research Center, University of the Ryukyus, 903-0213 Nishihara, Japan; Bioproduction Research Institute, National Institute of Advanced Industrial Science and Technology, 305-8566 Tsukuba, Japan;",National Academy of Sciences,"Ophiocordyceps,cicadas,parasitic fungi,symbiotic fungi,symbiont replacement",https://www.pnas.org/content/115/26/E5970,,"Diverse insects are associated with ancient bacterial symbionts, whose genomes have often suffered drastic reduction and degeneration. In extreme cases, such symbiont genomes seem almost unable to sustain the basic cellular functioning, which comprises an open question in the evolution of symbiosis. Here, we report an insect group wherein an ancient symbiont lineage suffering massive genome erosion has experienced recurrent extinction and replacement by host-associated pathogenic microbes. Cicadas are associated with the ancient bacterial co-obligate symbionts Sulcia and Hodgkinia, whose streamlined genomes are specialized for synthesizing essential amino acids, thereby enabling the host to live on plant sap. However, our inspection of 24 Japanese cicada species revealed that while all species possessed Sulcia, only nine species retained Hodgkinia, and their genomes exhibited substantial structural instability. The remaining 15 species lacked Hodgkinia and instead harbored yeast-like fungal symbionts. Detailed phylogenetic analyses uncovered repeated Hodgkinia-fungus and fungus-fungus replacements in cicadas. The fungal symbionts were phylogenetically intermingled with cicada-parasitizing Ophiocordyceps fungi, identifying entomopathogenic origins of the fungal symbionts. Most fungal symbionts of cicadas were uncultivable, but the fungal symbiont of Meimuna opalifera was cultivable, possibly because it is at an early stage of fungal symbiont replacement. Genome sequencing of the fungal symbiont revealed its metabolic versatility, presumably capable of synthesizing almost all amino acids, vitamins, and other metabolites, which is more than sufficient to compensate for the Hodgkinia loss. These findings highlight a straightforward ecological and evolutionary connection between parasitism and symbiosis, which may provide an evolutionary trajectory to renovate deteriorated ancient symbiosis via pathogen domestication.",,Metagenomic,Alleyah Hanson,
A Gene Ratios and Cell Activity Staining Reveal Consistent Patterns of Microbial Activity in Plant-Associated Soil,PRJNA454289,30/4/2018,"Alan W Bowsher,Ashley Shade","Department of Microbiology and Molecular Genetics, Michigan State University, East Lansing, Michigan, USA.",National Library of Medicine,"16S rRNA,""5-cyano-2,3-ditolyl tetrazolium chloride"",beta diversity,community dynamics,dormancy,flow cytometry,Microbiome,phantom taxa",https://pubmed.ncbi.nlm.nih.gov/30944883/#affiliation-1,,"At any given time, only a subset of microbial community members are active in their environment. The others are in a state of dormancy, with strongly reduced metabolic rates. It is of interest to distinguish active and inactive microbial cells and taxa to understand their functional contributions to ecosystem processes and to understand shifts in microbial activity in response to change. Of the methods used to assess microbial activity-dormancy dynamics, 16S rRNA/rRNA gene amplicons (16S ratios) and active cell staining with 5-cyano-2,3-ditolyl tetrazolium chloride (CTC) are two of the most common, yet each method has limitations. Given that in situ activity-dormancy dynamics are proxied only by laboratory methods, further study is needed to assess the level of agreement and potential complementarity of these methods. We conducted two experiments investigating microbial activity in plant-associated soils. First, we treated corn field soil with phytohormones to simulate plant soil stress signaling, and second, we used rhizosphere soil from common bean plants exposed to drought or nutrient enrichment. Overall, the 16S ratio and CTC methods exhibited similar patterns of relative activity across treatments when treatment effects were large, and the instances in which they differed could be attributed to changes in community size (e.g., cell death or growth). Therefore, regardless of the method used to assess activity, we recommend quantifying community size to inform ecological interpretation. Our results suggest that the 16S ratio and CTC methods report comparable patterns of activity that can be applied to observe ecological dynamics over time, space, or experimental treatment. IMPORTANCE Although the majority of microorganisms in natural ecosystems are dormant, relatively little is known about the dynamics of the active and dormant microbial pools through both space and time. The limited knowledge of microbial activity-dormancy dynamics is in part due to uncertainty in the methods currently used to quantify active taxa. Here, we directly compared two of the most common methods (16S ratios and active cell staining) for estimating microbial activity in plant-associated soil and found that they were largely in agreement in the overarching patterns. Our results suggest that 16S ratios and active cell staining provide complementary information for measuring and interpreting microbial activity-dormancy dynamics in soils. They also support the idea that 16S rRNA/rRNA gene ratios have comparative value and offer a high-throughput, sequencing-based option for understanding relative changes in microbiome activity, as long as this method is coupled with quantification of community size.",,Metagenomic,Alleyah Hanson,
Comparative Metagenomics of Microbial Communities,PRJNA13700,22/4/2005,"Susannah Green Tringe,Christian von Mering,Arthur Kobayashi,Asaf A Salamov,Kevin Chen,Hwai W Chang,Mircea Podar,Jay M Short,Eric J Mathur,John C Detter,Peer Bork,Philip Hugenholtz,Edward M Rubin","Susannah Green Tringe 1, Christian von Mering, Arthur Kobayashi, Asaf A Salamov, Kevin Chen, Hwai W Chang, Mircea Podar, Jay M Short, Eric J Mathur, John C Detter, Peer Bork, Philip Hugenholtz, Edward M Rubin",Science,"ecosystem,energy metabolism,operon,proteom,Phylogeny",https://science.sciencemag.org/content/308/5721/554,,The species complexity of microbial communities and challenges in culturing representative isolates make it difficult to obtain assembled genomes. Here we characterize and compare the metabolic capabilities of terrestrial and marine microbial communities using largely unassembled sequence data obtained by shotgun sequencing DNA isolated from the various environments. Quantitative gene content analysis reveals habitat-specific fingerprints that reflect known characteristics of the sampled environments. The identification of environment-specific genes through a gene-centric comparative analysis presents new opportunities for interpreting and diagnosing environments.,,Metagenomic,Koshiq Hossain,
Comparative Metagenomics Revealed Commonly Enriched Gene Sets in Human Gut Microbiomes,PRJNA27861,3/10/2007,"""Ken Kurokawa 1, Takehiko Itoh, Tomomi Kuwahara, Kenshiro Oshima, Hidehiro Toh, Atsushi Toyoda, Hideto Takami, Hidetoshi Morita, Vineet K Sharma, Tulika P Srivastava, Todd D Taylor, Hideki Noguchi, Hiroshi Mori, Yoshitoshi Ogura, Dusko S Ehrlich, Kikuji Itoh, Toshihisa Takagi, Yoshiyuki Sakaki, Tetsuya Hayashi, Masahira Hattori""","Laboratory of Comparative Genomics, Graduate School of Information Science, Nara Institute of Science and Technology, Ikoma, Nara, Japan.",Comparative Study,Unnamed record,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2533590/,,"Numerous microbes inhabit the human intestine, many of which are uncharacterized or uncultivable. They form a complex microbial community that deeply affects human physiology. To identify the genomic features common to all human gut microbiomes as well as those variable among them, we performed a large-scale comparative metagenomic analysis of fecal samples from 13 healthy individuals of various ages, including unweaned infants. We found that, while the gut microbiota from unweaned infants were simple and showed a high inter-individual variation in taxonomic and gene composition, those from adults and weaned children were more complex but showed a high functional uniformity regardless of age or sex. In searching for the genes over-represented in gut microbiomes, we identified 237 gene families commonly enriched in adult-type and 136 families in infant-type microbiomes, with a small overlap. An analysis of their predicted functions revealed various strategies employed by each type of microbiota to adapt to its intestinal environment, suggesting that these gene sets encode the core functions of adult and infant-type gut microbiota. By analysing the orphan genes, 647 new gene families were identified to be exclusively present in human intestinal microbiomes. In addition, we discovered a conjugative transposon family explosively amplified in human gut microbiomes, which strongly suggests that the intestine is a ‘hot spot’ for horizontal gene transfer between microbes.",,Metagenomic,Aqib Rahim,
Reverse Methanogenesis: Testing the Hypothesis With Environmental Genomics,PRJNA13702,3/9/2004,"Steven J Hallam,Nik Putnam,Christina M Preston,John C Detter,Daniel Rokshar,Paul M Richardson,Edward F DeLong","Steven J Hallam 1, Nik Putnam, Christina M Preston, John C Detter, Daniel Rokhsar, Paul M Richardson, Edward F DeLong",Science,"Anaerobiosis,Phylogeny,Pterins,Oxidoreductases",https://www.researchgate.net/publication/8359745_Reverse_Methanogenesis_Testing_the_Hypothesis_with_Environmental_Genomics,,"Microbial methane consumption in anoxic sediments significantly impacts the global environment by reducing the flux of greenhouse gases from ocean to atmosphere. Despite its significance, the biological mechanisms controlling anaerobic methane oxidation are not well characterized. One current model suggests that relatives of methane-producing Archaea developed the capacity to reverse methanogenesis and thereby to consume methane to produce cellular carbon and energy. We report here a test of the ""reverse-methanogenesis"" hypothesis by genomic analyses of methane-oxidizing Archaea from deep-sea sediments. Our results show that nearly all genes typically associated with methane production are present in one specific group of archaeal methanotrophs. These genome-based observations support previous hypotheses and provide an informed foundation for metabolic modeling of anaerobic methane oxidation. ",Hallametal_Science_2004.pdf (https://dl.airtable.com/.attachments/43b4d068505c8e090c3eac9e063b6c91/0c5de1ad/Hallametal_Science_2004.pdf),Metagenomic,Koshiq Hossain,
Sand DNA - A Genetic Library of Life at the Water's Edge,PRJNA13729	,11/10/2005,"Robert K. Naviaux,Benjamin Good,John Douglas Mcpherson,David L. Steffen,David Markusic,Barbara Ransom,Jacques Corbeil","Robert K. Naviaux, Benjamin Good, John Douglas Mcpherson, David L. Steffen, David Markusic, Barbara Ransom, Jacques Corbeil",Marine Ecology Progress Series,"Beach,Dissolved DNA,Genetic Library,Sand,Ecology,Aquatic Science",https://ucdavis.pure.elsevier.com/en/publications/sand-dna-a-genetic-library-of-life-at-the-waters-edge,,"Powdered silica has long been used for the purification of nucleic acids in the laboratory. Silicate-rich, ordinary ocean beach sand was found to concentrate dissolved DNA from seawater over 10 000-fold, providing a rich, renewable, and easily accessible genetic library that is easy to harvest and inexpensive to process. We found an average of 29 μg ml-1 of cell-free DNA adsorbed to silicate-rich, wave-washed sand from 14 beaches bordering 9 seas around the world. The DNA from a reference beach was shotgun cloned, 3 107 399 nucleotides of anonymous, non-redundant sequence were analyzed, and 2571 genes were found; 2562 of these genes were new. The apparent complexity of sand DNA was greater than 1.4 × 1011 nucleotides. About 90 % of the sequences identified were from prokaryotes, 10 % from eukaryotes, and 1 % were viral. Sequences from all kingdoms of life were present. Over half the sequences came from new phylotypes, reflecting the novelty of this genetic reservoir. © Inter-Research 2005.",Sand_DNA_-_A_genetic_library_of_life_at_the_water.pdf (https://dl.airtable.com/.attachments/1ab9afbe71e34a219618b90fcee16a17/d7551539/Sand_DNA_-_A_genetic_library_of_life_at_the_water.pdf),Metagenomic,Koshiq Hossain,
